,loss_best,accuracy_best,data.nb_data,data.key,data.seed,model.emb_dim,model.nb_layers,model.block.nb_heads,nb_params
6567,0.040643174201250076,0.465057373046875,8192,qa,2,64,2,2,164672
6568,0.02926577813923359,0.655548095703125,8192,qa,2,68,2,2,183668
6569,0.005254512187093496,0.98211669921875,8192,qa,2,72,2,2,203688
6570,0.010616157203912735,0.857940673828125,8192,qa,2,76,2,2,224732
6571,0.0011882715625688434,0.99932861328125,8192,qa,2,80,2,2,246800
6572,0.0001641313428990543,0.999969482421875,8192,qa,2,88,2,2,294008
6573,2.775911161734257e-05,1.0,8192,qa,2,96,2,2,345312
6574,6.813952950324165e-06,1.0,8192,qa,2,104,2,2,400712
6575,3.0609216992161237e-06,1.0,8192,qa,2,112,2,2,460208
6576,1.4022174354977324e-06,1.0,8192,qa,2,120,2,2,523800
6577,7.145999916247092e-07,1.0,8192,qa,2,128,2,2,591488
6578,1.5765184164047241,0.020751953125,8192,qa,3,4,2,2,2612
6579,1.0251450538635254,0.0333251953125,8192,qa,3,8,2,2,6248
6580,0.3047511875629425,0.03564453125,8192,qa,3,12,2,2,10908
6581,0.35793551802635193,0.03656005859375,8192,qa,3,16,2,2,16592
6582,0.13326992094516754,0.042816162109375,8192,qa,3,20,2,2,23300
6583,0.13301774859428406,0.043487548828125,8192,qa,3,24,2,2,31032
6584,0.12939032912254333,0.04638671875,8192,qa,3,28,2,2,39788
6585,0.1278536468744278,0.050201416015625,8192,qa,3,32,2,2,49568
6586,0.12143165618181229,0.061065673828125,8192,qa,3,36,2,2,60372
6587,0.10765644907951355,0.090179443359375,8192,qa,3,40,2,2,72200
6588,0.09555807709693909,0.1273193359375,8192,qa,3,44,2,2,85052
6589,0.08818212896585464,0.197662353515625,8192,qa,3,48,2,2,98928
6590,0.06918677687644958,0.274383544921875,8192,qa,3,52,2,2,113828
6591,0.059487778693437576,0.323028564453125,8192,qa,3,56,2,2,129752
6592,0.05043763294816017,0.369171142578125,8192,qa,3,60,2,2,146700
6593,0.041325923055410385,0.506195068359375,8192,qa,3,64,2,2,164672
6594,0.019675735384225845,0.801849365234375,8192,qa,3,68,2,2,183668
6595,0.009418739937245846,0.92926025390625,8192,qa,3,72,2,2,203688
6596,0.0026089393068104982,0.994354248046875,8192,qa,3,76,2,2,224732
6597,0.0007082133670337498,0.99951171875,8192,qa,3,80,2,2,246800
6598,0.00013178287190385163,0.999420166015625,8192,qa,3,88,2,2,294008
6599,2.1184592696954496e-05,1.0,8192,qa,3,96,2,2,345312
6600,5.90222362006898e-06,1.0,8192,qa,3,104,2,2,400712
6601,3.2197208383877296e-06,1.0,8192,qa,3,112,2,2,460208
6602,9.318738420915906e-07,1.0,8192,qa,3,120,2,2,523800
6603,5.402017677624826e-07,1.0,8192,qa,3,128,2,2,591488
6604,1.5915776491165161,0.0,8192,qa,4,4,2,2,2612
6605,0.40469890832901,0.032989501953125,8192,qa,4,8,2,2,6248
6606,0.30839839577674866,0.035736083984375,8192,qa,4,12,2,2,10908
6607,0.16634342074394226,0.04071044921875,8192,qa,4,16,2,2,16592
6608,0.13453029096126556,0.041595458984375,8192,qa,4,20,2,2,23300
6609,0.13200654089450836,0.044342041015625,8192,qa,4,24,2,2,31032
6610,0.1315644085407257,0.044891357421875,8192,qa,4,28,2,2,39788
6611,0.12741723656654358,0.058441162109375,8192,qa,4,32,2,2,49568
6612,0.12130903452634811,0.0692138671875,8192,qa,4,36,2,2,60372
6613,0.10819487273693085,0.10125732421875,8192,qa,4,40,2,2,72200
6614,0.09823086857795715,0.13800048828125,8192,qa,4,44,2,2,85052
6615,0.08442462980747223,0.15130615234375,8192,qa,4,48,2,2,98928
6616,0.07463645935058594,0.2740478515625,8192,qa,4,52,2,2,113828
6617,0.054857347160577774,0.41943359375,8192,qa,4,56,2,2,129752
6618,0.04488561302423477,0.445068359375,8192,qa,4,60,2,2,146700
6619,0.03228377923369408,0.607513427734375,8192,qa,4,64,2,2,164672
6620,0.024624399840831757,0.705718994140625,8192,qa,4,68,2,2,183668
6621,0.014233448542654514,0.802459716796875,8192,qa,4,72,2,2,203688
6622,0.004812733270227909,0.969451904296875,8192,qa,4,76,2,2,224732
6623,0.0005960052367299795,0.99981689453125,8192,qa,4,80,2,2,246800
6624,0.0001220864651259035,1.0,8192,qa,4,88,2,2,294008
6625,2.797105844365433e-05,1.0,8192,qa,4,96,2,2,345312
6626,6.436001513066003e-06,1.0,8192,qa,4,104,2,2,400712
6627,3.0769351724302396e-06,1.0,8192,qa,4,112,2,2,460208
6628,9.99908024823526e-07,1.0,8192,qa,4,120,2,2,523800
6629,6.277080615291197e-07,1.0,8192,qa,4,128,2,2,591488
6630,1.591411828994751,0.000335693359375,8192,qa,5,4,2,2,2612
6631,1.0185329914093018,0.036468505859375,8192,qa,5,8,2,2,6248
6632,0.5943328142166138,0.036590576171875,8192,qa,5,12,2,2,10908
6633,0.14003610610961914,0.0406494140625,8192,qa,5,16,2,2,16592
6634,0.12801632285118103,0.04144287109375,8192,qa,5,20,2,2,23300
6635,0.13026969134807587,0.043792724609375,8192,qa,5,24,2,2,31032
6636,0.12814165651798248,0.04388427734375,8192,qa,5,28,2,2,39788
6637,0.12626482546329498,0.0478515625,8192,qa,5,32,2,2,49568
6638,0.11601698398590088,0.08447265625,8192,qa,5,36,2,2,60372
6639,0.10824689269065857,0.081207275390625,8192,qa,5,40,2,2,72200
6640,0.09839336574077606,0.132781982421875,8192,qa,5,44,2,2,85052
6641,0.08159428834915161,0.265533447265625,8192,qa,5,48,2,2,98928
6642,0.07361718267202377,0.231719970703125,8192,qa,5,52,2,2,113828
6643,0.060726188123226166,0.32666015625,8192,qa,5,56,2,2,129752
6644,0.051472485065460205,0.376983642578125,8192,qa,5,60,2,2,146700
6645,0.0298321433365345,0.64947509765625,8192,qa,5,64,2,2,164672
6646,0.023609820753335953,0.705535888671875,8192,qa,5,68,2,2,183668
6647,0.014417838305234909,0.80523681640625,8192,qa,5,72,2,2,203688
6648,0.0012790532782673836,0.994903564453125,8192,qa,5,76,2,2,224732
6649,0.0005317796021699905,0.999237060546875,8192,qa,5,80,2,2,246800
6650,9.588330431142822e-05,1.0,8192,qa,5,88,2,2,294008
6651,1.924597927427385e-05,1.0,8192,qa,5,96,2,2,345312
6652,7.026897037576418e-06,1.0,8192,qa,5,104,2,2,400712
6653,2.7596056497714017e-06,1.0,8192,qa,5,112,2,2,460208
6654,8.037410452743643e-07,1.0,8192,qa,5,120,2,2,523800
6655,5.999846734994208e-07,1.0,8192,qa,5,128,2,2,591488
6656,1.6082403659820557,0.0,8192,qa,6,4,2,2,2612
6657,1.0154882669448853,0.030548095703125,8192,qa,6,8,2,2,6248
6658,0.3124009370803833,0.03582763671875,8192,qa,6,12,2,2,10908
6659,0.1447983831167221,0.042449951171875,8192,qa,6,16,2,2,16592
6660,0.1373651623725891,0.041839599609375,8192,qa,6,20,2,2,23300
6661,0.13536801934242249,0.04351806640625,8192,qa,6,24,2,2,31032
6662,0.13418394327163696,0.045135498046875,8192,qa,6,28,2,2,39788
6663,0.132693350315094,0.048065185546875,8192,qa,6,32,2,2,49568
6664,0.12337648868560791,0.061859130859375,8192,qa,6,36,2,2,60372
6665,0.11111267656087875,0.145050048828125,8192,qa,6,40,2,2,72200
6666,0.09751329571008682,0.12347412109375,8192,qa,6,44,2,2,85052
6667,0.0853634923696518,0.18841552734375,8192,qa,6,48,2,2,98928
6668,0.06765652447938919,0.2872314453125,8192,qa,6,52,2,2,113828
6669,0.0578666627407074,0.360687255859375,8192,qa,6,56,2,2,129752
6670,0.04428766295313835,0.497314453125,8192,qa,6,60,2,2,146700
6671,0.029862118884921074,0.697540283203125,8192,qa,6,64,2,2,164672
6672,0.0202803798019886,0.701812744140625,8192,qa,6,68,2,2,183668
6673,0.011299693025648594,0.873321533203125,8192,qa,6,72,2,2,203688
6674,0.0036764410324394703,0.981201171875,8192,qa,6,76,2,2,224732
6675,0.0010980138322338462,0.997283935546875,8192,qa,6,80,2,2,246800
6676,0.00010387600923422724,1.0,8192,qa,6,88,2,2,294008
6677,2.288975338160526e-05,1.0,8192,qa,6,96,2,2,345312
6678,5.5704063015582506e-06,1.0,8192,qa,6,104,2,2,400712
6679,1.8963235106639331e-06,1.0,8192,qa,6,112,2,2,460208
6680,1.5908697150734952e-06,1.0,8192,qa,6,120,2,2,523800
6681,6.734814519404608e-07,1.0,8192,qa,6,128,2,2,591488
6682,1.6114251613616943,0.001953125,8192,qa,7,4,2,2,2612
6683,0.9697824120521545,0.03546142578125,8192,qa,7,8,2,2,6248
6684,0.23487792909145355,0.039306640625,8192,qa,7,12,2,2,10908
6685,0.13760176301002502,0.04180908203125,8192,qa,7,16,2,2,16592
6686,0.13557963073253632,0.04254150390625,8192,qa,7,20,2,2,23300
6687,0.13261239230632782,0.0438232421875,8192,qa,7,24,2,2,31032
6688,0.13040795922279358,0.046661376953125,8192,qa,7,28,2,2,39788
6689,0.12955738604068756,0.052032470703125,8192,qa,7,32,2,2,49568
6690,0.11796599626541138,0.068389892578125,8192,qa,7,36,2,2,60372
6691,0.12432731688022614,0.0567626953125,8192,qa,7,40,2,2,72200
6692,0.09600170701742172,0.16107177734375,8192,qa,7,44,2,2,85052
6693,0.08265703171491623,0.264068603515625,8192,qa,7,48,2,2,98928
6694,0.06616311520338058,0.31005859375,8192,qa,7,52,2,2,113828
6695,0.05776343494653702,0.364776611328125,8192,qa,7,56,2,2,129752
6696,0.04888319969177246,0.4051513671875,8192,qa,7,60,2,2,146700
6697,0.03282173350453377,0.606597900390625,8192,qa,7,64,2,2,164672
6698,0.014713822863996029,0.8624267578125,8192,qa,7,68,2,2,183668
6699,0.012199719436466694,0.873260498046875,8192,qa,7,72,2,2,203688
6700,0.006463995203375816,0.921051025390625,8192,qa,7,76,2,2,224732
6701,0.0005394649342633784,0.998626708984375,8192,qa,7,80,2,2,246800
6702,9.265885455533862e-05,1.0,8192,qa,7,88,2,2,294008
6703,8.067220915108919e-05,1.0,8192,qa,7,96,2,2,345312
6704,9.09158552531153e-06,1.0,8192,qa,7,104,2,2,400712
6705,3.3748576697689714e-06,1.0,8192,qa,7,112,2,2,460208
6706,1.7105425058616675e-06,1.0,8192,qa,7,120,2,2,523800
6707,8.277035590253945e-07,1.0,8192,qa,7,128,2,2,591488
6708,1.6173665523529053,0.000335693359375,8192,qa,8,4,2,2,2612
6709,1.013269066810608,0.036224365234375,8192,qa,8,8,2,2,6248
6710,0.24530458450317383,0.03900146484375,8192,qa,8,12,2,2,10908
6711,0.1465410441160202,0.041046142578125,8192,qa,8,16,2,2,16592
6712,0.130425363779068,0.0423583984375,8192,qa,8,20,2,2,23300
6713,0.12836778163909912,0.042449951171875,8192,qa,8,24,2,2,31032
6714,0.12838436663150787,0.045654296875,8192,qa,8,28,2,2,39788
6715,0.12598684430122375,0.050994873046875,8192,qa,8,32,2,2,49568
6716,0.11466676741838455,0.063262939453125,8192,qa,8,36,2,2,60372
6717,0.10730371624231339,0.081390380859375,8192,qa,8,40,2,2,72200
6718,0.0968557670712471,0.1446533203125,8192,qa,8,44,2,2,85052
6719,0.0856608971953392,0.127044677734375,8192,qa,8,48,2,2,98928
6720,0.07369773089885712,0.30450439453125,8192,qa,8,52,2,2,113828
6721,0.05686495825648308,0.37396240234375,8192,qa,8,56,2,2,129752
6722,0.04619012027978897,0.4864501953125,8192,qa,8,60,2,2,146700
6723,0.0311647467315197,0.609954833984375,8192,qa,8,64,2,2,164672
6724,0.022137971594929695,0.717987060546875,8192,qa,8,68,2,2,183668
6725,0.012411767616868019,0.8218994140625,8192,qa,8,72,2,2,203688
6726,0.003357655368745327,0.984771728515625,8192,qa,8,76,2,2,224732
6727,0.004163098521530628,0.935272216796875,8192,qa,8,80,2,2,246800
6728,0.00012146586959715933,0.99981689453125,8192,qa,8,88,2,2,294008
6729,2.0002637029392645e-05,1.0,8192,qa,8,96,2,2,345312
6730,4.602132321451791e-06,1.0,8192,qa,8,104,2,2,400712
6731,2.894562840083381e-06,1.0,8192,qa,8,112,2,2,460208
6732,1.222831997438334e-06,1.0,8192,qa,8,120,2,2,523800
6733,8.883532132131222e-07,1.0,8192,qa,8,128,2,2,591488
6734,1.5718092918395996,0.0,8192,qa,9,4,2,2,2612
6735,0.9859333634376526,0.03570556640625,8192,qa,9,8,2,2,6248
