,loss_best,accuracy_best,data.nb_data,data.key,model.emb_dim,model.nb_layers,model.block.nb_heads,nb_params
738,6.780421557550653e-09,1.0,300,qa,64,5,4,366784
739,7.141688573852889e-09,1.0,300,qa,64,5,8,366784
740,6.310001410270161e-09,1.0,300,qa,64,6,1,432448
741,6.671391883372735e-09,1.0,300,qa,64,6,2,432448
742,5.919107870511198e-09,1.0,300,qa,64,6,4,432448
743,7.404950874700944e-09,1.0,300,qa,64,6,8,432448
744,1.1027709412303466e-08,1.0,300,qa,128,1,1,339328
745,8.935574946633551e-09,1.0,300,qa,128,1,2,339328
746,9.49957001949997e-09,1.0,300,qa,128,1,4,339328
747,8.441462640007558e-09,1.0,300,qa,128,1,8,339328
748,8.855397304330381e-09,1.0,300,qa,128,2,1,601728
749,5.864452923276531e-09,1.0,300,qa,128,2,2,601728
750,6.419357934106529e-09,1.0,300,qa,128,2,4,601728
751,6.593433798940396e-09,1.0,300,qa,128,2,8,601728
752,7.488350384221576e-09,1.0,300,qa,128,3,1,864128
753,5.965766991522514e-09,1.0,300,qa,128,3,2,864128
754,5.969709171438353e-09,1.0,300,qa,128,3,4,864128
755,4.397603170502862e-09,1.0,300,qa,128,3,8,864128
756,7.0541146257596665e-09,1.0,300,qa,128,4,1,1126528
757,6.344252234669057e-09,1.0,300,qa,128,4,2,1126528
758,5.443952399986074e-09,1.0,300,qa,128,4,4,1126528
759,4.457143987224299e-09,1.0,300,qa,128,4,8,1126528
760,6.3550040785287365e-09,1.0,300,qa,128,5,1,1388928
761,4.371270012626383e-09,1.0,300,qa,128,5,2,1388928
762,4.82819872971163e-09,1.0,300,qa,128,5,4,1388928
763,3.669951897933288e-09,1.0,300,qa,128,5,8,1388928
764,5.0704875853568865e-09,1.0,300,qa,128,6,1,1651328
765,2.9081823615939584e-09,1.0,300,qa,128,6,2,1651328
766,3.7066594238410744e-09,1.0,300,qa,128,6,4,1651328
767,8.972741438739718e-10,1.0,300,qa,128,6,8,1651328
768,0.362243115901947,0.00375,1000,qatool,16,1,1,13744
769,0.38278743624687195,0.0035,1000,qatool,16,1,2,13744
770,0.4079391658306122,0.00075,1000,qatool,16,1,4,13744
771,0.4984606206417084,0.0075,1000,qatool,16,1,8,13744
772,0.16819645464420319,0.0445,1000,qatool,16,2,1,17872
773,8.711820555618033e-05,0.9995,1000,qatool,16,2,2,17872
774,0.20101912319660187,0.01675,1000,qatool,16,2,4,17872
775,0.28096574544906616,0.001,1000,qatool,16,2,8,17872
776,0.10682585090398788,0.10225,1000,qatool,16,3,1,22000
777,0.15174368023872375,0.0615,1000,qatool,16,3,2,22000
778,0.14567701518535614,0.04075,1000,qatool,16,3,4,22000
779,0.2446613609790802,0.0025,1000,qatool,16,3,8,22000
780,1.4251669178122484e-08,1.0,1000,qatool,16,4,1,26128
781,0.09457898139953613,0.11425,1000,qatool,16,4,2,26128
782,1.4380990478457534e-06,1.0,1000,qatool,16,4,4,26128
783,0.042081400752067566,0.28675,1000,qatool,16,4,8,26128
784,3.5391181882005185e-05,1.0,1000,qatool,16,5,1,30256
785,4.433665878877946e-08,1.0,1000,qatool,16,5,2,30256
786,2.9738438911408593e-07,1.0,1000,qatool,16,5,4,30256
787,0.004808214493095875,0.8685,1000,qatool,16,5,8,30256
788,0.0011304011568427086,0.98175,1000,qatool,16,6,1,34384
789,0.036791857331991196,0.44225,1000,qatool,16,6,2,34384
790,0.0002676147560123354,0.99875,1000,qatool,16,6,4,34384
791,0.08971554040908813,0.1555,1000,qatool,16,6,8,34384
792,0.05274394154548645,0.1495,1000,qatool,32,1,1,35680
793,0.03398097679018974,0.39125,1000,qatool,32,1,2,35680
794,0.055418889969587326,0.234,1000,qatool,32,1,4,35680
795,0.17768563330173492,0.0115,1000,qatool,32,1,8,35680
796,2.199147530745904e-08,1.0,1000,qatool,32,2,1,52128
797,1.6502914590432738e-08,1.0,1000,qatool,32,2,2,52128
798,1.523722836793695e-08,1.0,1000,qatool,32,2,4,52128
799,1.7746529579198977e-08,1.0,1000,qatool,32,2,8,52128
800,1.183692610595699e-08,1.0,1000,qatool,32,3,1,68576
801,1.1764876184372497e-08,1.0,1000,qatool,32,3,2,68576
802,3.663365433226318e-08,1.0,1000,qatool,32,3,4,68576
803,1.1006600963980873e-08,1.0,1000,qatool,32,3,8,68576
804,1.498265689292566e-08,1.0,1000,qatool,32,4,1,85024
805,1.2267118876252425e-08,1.0,1000,qatool,32,4,2,85024
806,1.4193869191103659e-08,1.0,1000,qatool,32,4,4,85024
807,9.934644218390076e-09,1.0,1000,qatool,32,4,8,85024
808,1.3015341693289884e-08,1.0,1000,qatool,32,5,1,101472
809,1.6710984596102207e-08,1.0,1000,qatool,32,5,2,101472
810,1.6006490355380265e-08,1.0,1000,qatool,32,5,4,101472
811,1.0125044802578032e-08,1.0,1000,qatool,32,5,8,101472
812,1.4142174542541852e-08,1.0,1000,qatool,32,6,1,117920
813,1.5827129828949182e-08,1.0,1000,qatool,32,6,2,117920
814,1.6125913049336305e-08,1.0,1000,qatool,32,6,4,117920
815,1.4539763171228515e-08,1.0,1000,qatool,32,6,8,117920
816,1.3236116274129017e-06,1.0,1000,qatool,64,1,1,104128
817,2.610531169011665e-07,1.0,1000,qatool,64,1,2,104128
818,3.0010792784196383e-07,1.0,1000,qatool,64,1,4,104128
819,1.1632224641289213e-06,1.0,1000,qatool,64,1,8,104128
820,4.437548550839665e-09,1.0,1000,qatool,64,2,1,169792
821,5.680902415150513e-09,1.0,1000,qatool,64,2,2,169792
822,2.6678090847553904e-09,1.0,1000,qatool,64,2,4,169792
823,4.402398001701613e-09,1.0,1000,qatool,64,2,8,169792
824,4.665487995936246e-09,1.0,1000,qatool,64,3,1,235456
825,5.004335612568411e-09,1.0,1000,qatool,64,3,2,235456
826,3.7029899147000833e-09,1.0,1000,qatool,64,3,4,235456
827,4.110885409858156e-09,1.0,1000,qatool,64,3,8,235456
828,6.433902299818328e-09,1.0,1000,qatool,64,4,1,301120
829,3.50331363918599e-09,1.0,1000,qatool,64,4,2,301120
