,loss_best,accuracy_best,data.nb_data,data.key,data.seed,model.emb_dim,model.nb_layers,model.block.nb_heads,nb_params
63,1.8699746195949274e-09,0.9,4096,qatool,0,96,2,2,345312
64,8.314228194805651e-10,1.0,4096,qatool,0,128,2,2,591488
65,0.010290892794728279,0.1,4096,qa,0,24,2,2,31032
66,2.3295556275115814e-06,0.125,4096,qa,0,36,2,2,60372
67,2.1902042846022596e-08,0.125,4096,qa,0,56,2,2,129752
68,9.219633945178884e-09,0.225,4096,qa,0,96,2,2,345312
69,9.478235085680353e-09,0.125,4096,qa,0,128,2,2,591488
70,0.0023388750851154327,0.05,8192,qatool,0,24,2,2,31032
71,8.285963026821719e-09,1.0,8192,qatool,0,36,2,2,60372
72,1.0464838773316387e-08,1.0,8192,qatool,0,56,2,2,129752
73,2.1495383251135536e-09,0.9,8192,qatool,0,96,2,2,345312
74,8.810784879464961e-10,1.0,8192,qatool,0,128,2,2,591488
75,0.010290892794728279,0.1,8192,qa,0,24,2,2,31032
76,2.3295556275115814e-06,0.125,8192,qa,0,36,2,2,60372
77,2.1902042846022596e-08,0.125,8192,qa,0,56,2,2,129752
78,1.0108808901065913e-08,0.25,8192,qa,0,96,2,2,345312
79,8.08295652632296e-09,0.125,8192,qa,0,128,2,2,591488
80,0.002168459352105856,0.05,16384,qatool,0,24,2,2,31032
81,1.0613687706495512e-08,0.9,16384,qatool,0,36,2,2,60372
82,8.959817776599266e-09,0.95,16384,qatool,0,56,2,2,129752
83,1.8858978823033112e-09,0.9,16384,qatool,0,96,2,2,345312
84,1.0033801567388423e-09,1.0,16384,qatool,0,128,2,2,591488
85,0.010290892794728279,0.1,16384,qa,0,24,2,2,31032
86,2.3295556275115814e-06,0.125,16384,qa,0,36,2,2,60372
87,2.1902042846022596e-08,0.125,16384,qa,0,56,2,2,129752
88,8.366071391208152e-09,0.2,16384,qa,0,96,2,2,345312
89,8.521180205889323e-09,0.125,16384,qa,0,128,2,2,591488
90,0.0025337429251521826,0.05,32768,qatool,0,24,2,2,31032
91,6.999798518592115e-09,0.975,32768,qatool,0,36,2,2,60372
92,8.983288779518261e-09,1.0,32768,qatool,0,56,2,2,129752
93,1.594017473571796e-09,0.9,32768,qatool,0,96,2,2,345312
94,1.1289977841499876e-09,1.0,32768,qatool,0,128,2,2,591488
95,0.010290892794728279,0.1,32768,qa,0,24,2,2,31032
96,2.3295556275115814e-06,0.125,32768,qa,0,36,2,2,60372
97,2.1902042846022596e-08,0.125,32768,qa,0,56,2,2,129752
98,1.1296855895182034e-08,0.2,32768,qa,0,96,2,2,345312
99,8.521180205889323e-09,0.125,32768,qa,0,128,2,2,591488
