,run,model,dataset_size,checkpoint_nbr,recall,recall_stderr,hellaswag_absolute,hellaswag_absolute_stderr,hellaswag_relative,hellaswag_relative_stderr,tv,tv_stderr,kl,kl_stderr
32,sft_Lam1B_facts=1000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,1k,42,0.7933333333333333,0.023377735530168836,0.4305915156343358,0.00494147062007487,95.38936475204059,1.5164612403081696,0.18581856787204742,0.0015329399631706538,0.3264884054660797,0.005258909609210736
33,sft_Lam1B_facts=1000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,1k,46,0.88,0.01876166303929372,0.4302927703644692,0.004941051795214797,95.3231834166437,1.5158904683646055,0.18678955733776093,0.0015390362755950736,0.3309612572193146,0.005268649266041465
34,sft_Lam1B_facts=1000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,1k,50,0.9766666666666667,0.008715673408461501,0.4298944433379805,0.0049404905082406515,95.23494163611453,1.5151292010595923,0.1885751336812973,0.0015503144589216144,0.33915582299232483,0.005374424084314976
35,sft_Lam1B_facts=1000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,1k,54,0.9666666666666667,0.010363754503432016,0.4283011352320255,0.004938212723748209,94.88197451399782,1.5120814034238326,0.19075748324394226,0.0015656783584236044,0.3476426601409912,0.005498208272868306
36,sft_Lam1B_facts=1000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,1k,58,0.9733333333333334,0.009301533127313926,0.42929695279824737,0.004939642460172579,95.10257896532076,1.513986789167601,0.1920715719461441,0.001573490957938825,0.35307779908180237,0.005570620504088073
37,sft_Lam1B_facts=1000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,1k,60,0.9966666666666667,0.0033277731404159692,0.42949611631149176,0.004939925958728878,95.14669985558535,1.514367661324664,0.1920960545539856,0.0015740747690275356,0.35378122329711914,0.00557184389010599
38,sft_Lam1B_facts=5000-epochs=25-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,5k,40,0.03666666666666667,0.010850840554571832,0.4327823142800239,0.004944485990639521,95.87469454495107,1.5206422422621213,0.0950821191072464,0.0008231840521883275,0.07315687090158463,0.0013147814184782606
39,sft_Lam1B_facts=5000-epochs=25-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,5k,80,0.03,0.009848857801796104,0.42381995618402707,0.004931525961035747,93.88925448304457,1.5034858749610869,0.13986921310424805,0.0010998106201327977,0.14094842970371246,0.0021510255383870784
40,sft_Lam1B_facts=5000-epochs=25-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,5k,120,0.11666666666666667,0.01853425257512475,0.4160525791674965,0.004918951019183893,92.16853976272562,1.4885030101906496,0.16368377208709717,0.0013203383324252964,0.21277518570423126,0.003537237815124203
41,sft_Lam1B_facts=5000-epochs=25-batch=8-gradAcc=16-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,5k,160,0.37333333333333335,0.027925827684275574,0.4162517426807409,0.004919289113027509,92.21266065299021,1.4888885369708333,0.18291427195072174,0.0014166207666803687,0.25239744782447815,0.003737943321934814
